# pair_index, img_from, img_to, component_id, start_x, start_y, end_x, end_y, centroid_x, centroid_y, unit_dir_x, unit_dir_y, length_px, angle_rad, size_pixels
121, generated121.png, generated122.png, 1, 574.353, 410.323, 536.648, 390.675, 555.164, 400.324, -0.886812, -0.462131, 42.517, -2.661196, 818
123, generated123.png, generated124.png, 1, 233.353, 135.109, 109.985, 112.079, 171.617, 123.584, -0.983019, -0.183501, 125.499, -2.957045, 1910
124, generated124.png, generated125.png, 1, 70.880, 454.032, 93.677, 538.626, 82.210, 496.075, 0.260210, 0.965552, 87.612, 1.307557, 2015
125, generated125.png, generated126.png, 1, 333.251, 162.126, 226.295, 238.007, 278.848, 200.723, -0.815592, 0.578628, 131.139, 2.524547, 4317
126, generated126.png, generated127.png, 1, 6.519, 468.851, 53.093, 542.032, 30.439, 506.436, 0.536908, 0.843641, 86.744, 1.004028, 3947
127, generated127.png, generated128.png, 1, 617.925, 318.478, 504.938, 315.063, 562.916, 316.816, -0.999544, -0.030211, 113.039, -3.111377, 3725
128, generated128.png, generated129.png, 1, 322.064, 161.074, 271.944, 164.052, 296.472, 162.594, -0.998239, 0.059324, 50.209, 3.082233, 1371
129, generated129.png, generated130.png, 1, 455.420, 448.135, 434.813, 512.261, 444.750, 481.341, -0.305942, 0.952050, 67.356, 1.881724, 1259
130, generated130.png, generated131.png, 1, 217.479, 229.472, 234.696, 280.413, 226.050, 254.832, 0.320184, 0.947355, 53.771, 1.244873, 1694
131, generated131.png, generated132.png, 1, 206.055, 381.153, 217.575, 450.568, 212.238, 418.408, 0.163715, 0.986508, 70.365, 1.406341, 2015
132, generated132.png, generated133.png, 1, 500.260, 208.137, 514.828, 286.847, 507.657, 248.103, 0.181992, 0.983300, 80.047, 1.387784, 1915
133, generated133.png, generated134.png, 1, 239.766, 200.736, 234.290, 267.860, 237.046, 234.080, -0.081313, 0.996689, 67.347, 1.652199, 1660
134, generated134.png, generated135.png, 1, 526.885, 411.319, 460.989, 355.646, 493.958, 383.501, -0.763878, -0.645361, 86.266, -2.440097, 4697
136, generated136.png, generated137.png, 1, 295.815, 493.436, 233.558, 467.042, 263.117, 479.574, -0.920678, -0.390324, 67.621, -2.740609, 1379
137, generated137.png, generated138.png, 1, 491.117, 175.144, 519.344, 211.969, 505.095, 193.380, 0.608362, 0.793659, 46.400, 0.916801, 1159
138, generated138.png, generated139.png, 1, 65.988, 5.049, 100.781, 75.643, 82.263, 38.070, 0.442083, 0.896974, 78.703, 1.112877, 2370
139, generated139.png, generated140.png, 1, 408.009, 589.254, 352.005, 589.153, 379.522, 589.203, -0.999998, -0.001802, 56.004, -3.139791, 533
142, generated142.png, generated143.png, 1, 471.066, 169.129, 419.979, 165.280, 446.060, 167.245, -0.997173, -0.075136, 51.232, -3.066386, 1076
143, generated143.png, generated144.png, 1, 53.981, 291.312, 34.029, 354.055, 43.501, 324.270, -0.303037, 0.952979, 65.839, 1.878674, 1993
144, generated144.png, generated145.png, 1, 427.068, 312.190, 464.928, 405.435, 446.149, 359.185, 0.376198, 0.926539, 100.638, 1.185107, 1988
145, generated145.png, generated146.png, 1, 350.021, 82.097, 330.817, 152.496, 341.185, 114.492, -0.263173, 0.964749, 72.972, 1.837106, 2872
146, generated146.png, generated147.png, 1, 701.163, 442.904, 703.967, 476.920, 702.599, 460.321, 0.082157, 0.996619, 34.132, 1.488546, 389
147, generated147.png, generated148.png, 1, 615.760, 237.227, 577.841, 229.815, 596.590, 233.480, -0.981426, -0.191841, 38.637, -2.948555, 832
148, generated148.png, generated149.png, 1, 367.657, 128.768, 296.840, 70.546, 331.378, 98.941, -0.772451, -0.635075, 91.678, -2.453487, 2253
149, generated149.png, generated150.png, 1, 596.101, 588.440, 524.088, 587.135, 558.454, 587.758, -0.999836, -0.018114, 72.024, -3.123478, 901
150, generated150.png, generated151.png, 1, 286.159, 6.521, 253.902, 14.314, 270.392, 10.330, -0.972036, 0.234831, 33.186, 2.904548, 558
151, generated151.png, generated152.png, 1, 594.248, 589.834, 501.121, 561.934, 548.867, 576.239, -0.957936, -0.286983, 97.217, -2.850517, 2301
152, generated152.png, generated153.png, 1, 568.461, 130.654, 498.791, 116.973, 535.117, 124.106, -0.981258, -0.192696, 71.000, -2.947684, 2623
153, generated153.png, generated154.png, 1, 25.814, 25.719, 45.134, 81.608, 35.006, 52.310, 0.326727, 0.945119, 59.134, 1.237958, 1610
154, generated154.png, generated155.png, 1, 708.648, 489.996, 639.222, 445.206, 674.938, 468.249, -0.840302, -0.542119, 82.620, -2.568636, 2566
156, generated156.png, generated157.png, 1, 467.956, 509.700, 437.803, 526.650, 453.432, 517.864, -0.871720, 0.490005, 34.590, 2.629497, 435
157, generated157.png, generated158.png, 1, 578.010, 94.386, 525.984, 94.748, 551.856, 94.568, -0.999976, 0.006959, 52.027, 3.134634, 984
158, generated158.png, generated159.png, 1, 185.774, 21.351, 113.890, 31.195, 148.394, 26.470, -0.990752, 0.135682, 72.555, 3.005491, 2872
159, generated159.png, generated160.png, 1, 581.039, 411.967, 622.591, 461.344, 602.272, 437.198, 0.643880, 0.765126, 64.534, 0.871237, 1246
160, generated160.png, generated161.png, 1, 333.071, 79.620, 340.715, 121.236, 336.493, 98.249, 0.180663, 0.983545, 42.313, 1.389136, 791
161, generated161.png, generated162.png, 1, 705.477, 404.127, 728.621, 522.879, 718.429, 470.586, 0.191298, 0.981532, 120.986, 1.378312, 1614
162, generated162.png, generated163.png, 1, 723.910, 265.095, 688.588, 246.714, 706.159, 255.858, -0.887073, -0.461630, 39.819, -2.661761, 979
163, generated163.png, generated164.png, 1, 368.685, 151.905, 325.478, 134.131, 344.537, 141.971, -0.924807, -0.380436, 46.720, -2.751325, 1047
164, generated164.png, generated165.png, 1, 550.765, 395.919, 527.060, 382.402, 535.489, 387.209, -0.868687, -0.495362, 27.288, -2.623342, 139
166, generated166.png, generated167.png, 1, 660.405, 472.856, 628.594, 466.851, 645.453, 470.034, -0.982645, -0.185494, 32.372, -2.955018, 625
167, generated167.png, generated168.png, 1, 689.693, 234.412, 669.783, 267.871, 679.566, 251.429, -0.511370, 0.859361, 38.934, 2.107575, 948
168, generated168.png, generated169.png, 1, 173.956, 264.902, 176.906, 324.055, 175.488, 295.631, 0.049807, 0.998759, 59.226, 1.520968, 1446
169, generated169.png, generated170.png, 1, 682.105, 249.028, 665.364, 312.097, 673.101, 282.948, -0.256542, 0.966533, 65.253, 1.830239, 890
170, generated170.png, generated171.png, 1, 9.404, 9.180, 7.822, 74.190, 8.603, 42.080, -0.024317, 0.999704, 65.029, 1.595116, 991
171, generated171.png, generated172.png, 1, 337.984, 432.019, 328.660, 424.417, 333.300, 428.200, -0.775054, -0.631895, 12.031, -2.457597, 70
173, generated173.png, generated174.png, 1, 70.697, 92.959, 47.231, 99.792, 58.953, 96.378, -0.960125, 0.279572, 24.441, 2.858245, 386
174, generated174.png, generated175.png, 1, 294.141, 405.921, 336.654, 491.676, 316.161, 450.338, 0.444165, 0.895945, 95.714, 1.110554, 1356
175, generated175.png, generated176.png, 1, 276.409, 298.487, 262.341, 342.110, 269.399, 320.225, -0.306930, 0.951732, 45.835, 1.882762, 848
177, generated177.png, generated178.png, 1, 707.156, 360.269, 654.970, 325.556, 682.974, 344.184, -0.832618, -0.553848, 62.677, -2.554613, 1010
178, generated178.png, generated179.png, 1, 277.456, 359.346, 207.802, 310.848, 243.208, 335.500, -0.820668, -0.571405, 84.874, -2.533375, 1830
179, generated179.png, generated180.png, 1, 497.515, 579.260, 438.489, 538.170, 469.191, 559.543, -0.820719, -0.571332, 71.920, -2.533464, 1304
181, generated181.png, generated182.png, 1, 502.489, 558.090, 465.819, 548.706, 483.644, 553.267, -0.968782, -0.247914, 37.851, -2.891066, 610
182, generated182.png, generated183.png, 1, 622.583, 218.956, 567.106, 194.757, 595.167, 206.997, -0.916596, -0.399814, 60.525, -2.730278, 1346
183, generated183.png, generated184.png, 1, 54.178, 336.243, 56.931, 402.212, 55.425, 366.122, 0.041688, 0.999131, 66.026, 1.529096, 835
184, generated184.png, generated185.png, 1, 729.609, 436.432, 668.643, 381.289, 700.584, 410.179, -0.741645, -0.670793, 82.205, -2.406315, 2493
185, generated185.png, generated186.png, 1, 273.018, 24.092, 198.769, 38.835, 236.368, 31.369, -0.980853, 0.194748, 75.699, 2.945592, 1726
186, generated186.png, generated187.png, 1, 669.125, 387.888, 714.420, 438.519, 693.098, 414.685, 0.666740, 0.745291, 67.935, 0.840971, 1331
187, generated187.png, generated188.png, 1, 652.870, 330.226, 596.653, 302.668, 627.378, 317.730, -0.897915, -0.440168, 62.608, -2.685807, 1381
188, generated188.png, generated189.png, 1, 236.028, 9.250, 182.901, 15.098, 209.684, 12.150, -0.993996, 0.109418, 53.448, 3.031955, 1215
189, generated189.png, generated190.png, 1, 440.660, 497.590, 399.423, 531.720, 419.530, 515.078, -0.770366, 0.637603, 53.529, 2.450211, 1167
191, generated191.png, generated192.png, 1, 668.250, 385.475, 648.024, 375.849, 658.194, 380.689, -0.902952, -0.429741, 22.400, -2.697387, 196
192, generated192.png, generated193.png, 1, 651.473, 331.149, 668.420, 391.164, 659.987, 361.299, 0.271761, 0.962365, 62.362, 1.295573, 1285
193, generated193.png, generated194.png, 1, 130.046, 354.158, 141.959, 426.172, 136.363, 392.344, 0.163209, 0.986591, 72.993, 1.406854, 1297
194, generated194.png, generated195.png, 1, 642.674, 318.222, 703.519, 407.687, 673.970, 364.239, 0.562361, 0.826892, 108.195, 0.973558, 2060
195, generated195.png, generated196.png, 1, 303.416, 284.380, 276.651, 294.032, 289.603, 289.361, -0.940694, 0.339258, 28.452, 2.795465, 310
196, generated196.png, generated197.png, 1, 628.247, 390.765, 569.107, 426.816, 599.179, 408.485, -0.853863, 0.520499, 69.262, 2.594158, 1131
